incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027234,Disturbance at a Business,2022-03-22T00:00:00.000,1700BLK OCEAN AVE ,B001,0B1G,2022-03-22T16:54:50.000,2022-03-22T17:26:34.000,Gone on Arrival,34.00896454,-118.4920082,368,15,34.00896454,-118.4920082
220027229,Periodic Check,2022-03-22T00:00:00.000,1500BLK 4TH ST ,B001,0B1I,2022-03-22T16:42:37.000,2022-03-22T17:24:24.000,Checks Okay,34.01440413,-118.4927999,368,15,34.01440413,-118.4927999
220027237,Disturbance at a Business,2022-03-22T00:00:00.000,1400BLK 3RD STREET PROM ,B001,0B1K,2022-03-22T17:05:55.000,2022-03-22T17:21:58.000,Gone on Arrival,34.01498072,-118.4953074,368,15,34.01498072,-118.4953074
220027230,Disturbance of the Peace,2022-03-22T00:00:00.000,3100BLK VIRGINIA AVE ,B003,0B3F,2022-03-22T16:46:00.000,2022-03-22T17:05:15.000,Advisal,34.02767828,-118.4582264,364,13,34.02767828,-118.4582264
220027154,Loitering,2022-03-22T00:00:00.000,700BLK ARIZONA AVE ,B001,0B1J,2022-03-22T13:23:02.000,2022-03-22T17:00:37.000,Arrest,34.02043569,-118.4934087,368,15,34.02043569,-118.4934087
220027220,Domestic Violence Just Occurred,2022-03-22T00:00:00.000,OCEAN AVE / HOLLISTER AVE,B001,0B1E,2022-03-22T16:20:55.000,2022-03-22T17:00:02.000,Advisal,34.00323741,-118.4875832,363,16,34.00323741,-118.4875832
220027219,Disturbance at a Business,2022-03-22T00:00:00.000,1600BLK OCEAN AVE ,B001,0B1G,2022-03-22T16:18:55.000,2022-03-22T16:59:40.000,Other,34.01047993,-118.4937814,368,15,34.01047993,-118.4937814
220027224,Expired Registration,2022-03-22T00:00:00.000,800BLK HILL ST ,B002,0B2B,2022-03-22T16:29:03.000,2022-03-22T16:48:11.000,Impound,34.00601438,-118.4741286,363,19,34.00601438,-118.4741286
220027221,Animal Related Incident,2022-03-22T00:00:00.000,1600BLK CLOVERFIELD BLVD ,B003,0B3F,2022-03-22T16:23:42.000,2022-03-22T16:47:46.000,Checks Okay,34.02779773,-118.4730894,364,13,34.02779773,-118.4730894
220027227,Pedestrian Stop,2022-03-22T00:00:00.000,1200BLK 4TH ST ,B001,0B1K,2022-03-22T16:36:01.000,2022-03-22T16:40:10.000,Advisal,34.01843446,-118.4975083,368,15,34.01843446,-118.4975083
