incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027348,Suspicious Person,2022-03-22T00:00:00.000,2900BLK PICO BLVD,B002,0B2E,2022-03-22T23:22:47.000,2022-03-22T23:38:43.000,Gone on Arrival,34.025100304589095,-118.45890422491723,363,13,34.0251003045891,-118.458904224917
220027322,Attempt Suicide,2022-03-22T00:00:00.000,2000BLK THE BEACH,B001,0B1E,2022-03-22T21:29:46.000,2022-03-22T23:36:55.000,Other,,,,,,
220027342,Disturbance of the Peace,2022-03-22T00:00:00.000,1800BLK 7TH ST ,B001,0B1G,2022-03-22T23:00:43.000,2022-03-22T23:32:14.000,Gone on Arrival,34.012368426153841,-118.48489214902294,368,15,34.0123684261538,-118.484892149023
220027338,Loud Music,2022-03-22T00:00:00.000,900BLK 7TH ST,B004,0B4D,2022-03-22T22:45:54.000,2022-03-22T23:29:31.000,Checks Okay,34.024817239096762,-118.49945031580008,365,4,34.0248172390968,-118.4994503158
220027343,Battery Report,2022-03-22T00:00:00.000,1500BLK PALISADES PARK ,B001,0B1L,2022-03-22T23:09:04.000,2022-03-22T23:26:54.000,Cancelled,,,,,,
220027330,Pedestrian Stop,2022-03-22T00:00:00.000,4TH ST / SANTA MONICA BLVD,B001,0B1K,2022-03-22T22:08:27.000,2022-03-22T23:23:11.000,Assist,34.016413146161284,-118.49515045817309,368,15,34.0164131461613,-118.495150458173
220027344,Suspicious Circumstances,2022-03-22T00:00:00.000,700BLK 12TH ST ,B004,0B4B,2022-03-22T23:09:28.000,2022-03-22T23:22:20.000,Gone on Arrival,34.031973475257026,-118.49860837941613,365,5,34.031973475257,-118.498608379416
220027231,Status Check,2022-03-22T00:00:00.000,100BLK COLORADO AVE ,B001,0B1G,2022-03-22T16:52:01.000,2022-03-22T23:19:25.000,Other,34.011814480547272,-118.49439360247047,368,15,34.0118144805473,-118.49439360247
220027160,SCAR Investigation,2022-03-22T00:00:00.000,1700BLK OCEAN AVE,B001,0B1G,2022-03-22T13:38:19.000,2022-03-22T23:17:57.000,Report,34.008964543296742,-118.49200823158014,368,15,34.0089645432967,-118.49200823158
220027331,Keep The Peace,2022-03-22T00:00:00.000,1300BLK OCEAN FRONT WALK ,B001,0B1C,2022-03-22T22:09:46.000,2022-03-22T23:03:22.000,Gone on Arrival,34.013919799188933,-118.49967495140936,368,15,34.0139197991889,-118.499674951409
