incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027289,Battery Now,2022-03-22T00:00:00.000,2900BLK LINCOLN BLVD ,B002,0B2A,2022-03-22T19:44:50.000,2022-03-22T23:02:18.000,Report,34.00476334828916,-118.47342386821785,363,17,34.0047633482892,-118.473423868218
220027312,Hit and Run Misdemeanor Investigation,2022-03-22T00:00:00.000,400BLK PICO BLVD ,B002,0B2A,2022-03-22T21:07:26.000,2022-03-22T22:46:11.000,TC REPORT,34.010014915515022,-118.48671333859362,368,15,34.010014915515,-118.486713338594
220027332,Suspicious Person,2022-03-22T00:00:00.000,600BLK 11TH ST ,B004,0B4B,2022-03-22T22:09:52.000,2022-03-22T22:32:34.000,Gone on Arrival,34.031210671992739,-118.49955603498464,366,5,34.0312106719927,-118.499556034985
220027333,Citizen Flag,2022-03-22T00:00:00.000,1100BLK MONTANA AVE,B004,0B4B,2022-03-22T22:14:15.000,2022-03-22T22:32:29.000,Advisal,34.031145263701646,-118.49855588335427,365,5,34.0311452637016,-118.498555883354
220027255,Traffic Collision with Injuries,2022-03-22T00:00:00.000,LINCOLN BLVD / NAVY ST,B002,0B2A,2022-03-22T17:47:20.000,2022-03-22T22:31:16.000,TC REPORT,34.003041549738334,-118.47106730807934,363,17,34.0030415497383,-118.471067308079
220027334,Disturbance at a Business,2022-03-22T00:00:00.000,2500BLK SANTA MONICA BLVD ,B003,0B3A,2022-03-22T22:17:03.000,2022-03-22T22:30:53.000,Assist,34.032626775197777,-118.47513953493699,364,10,34.0326267751978,-118.475139534937
220027329,Periodic Check,2022-03-22T00:00:00.000,1100BLK 4TH ST ,B001,0B1M,2022-03-22T22:07:35.000,2022-03-22T22:27:44.000,Checks Okay,34.01980049876768,-118.49910636100442,365,6,34.0198004987677,-118.499106361004
220027323,Disturbance at a Business,2022-03-22T00:00:00.000,1100BLK MONTANA AVE ,B004,0B4B,2022-03-22T21:35:47.000,2022-03-22T22:10:20.000,Other,34.031145263701646,-118.49855588335427,365,5,34.0311452637016,-118.498555883354
220027310,Public Intoxication,2022-03-22T00:00:00.000,300BLK SANTA MONICA BLVD,B001,0B1K,2022-03-22T21:04:18.000,2022-03-22T22:07:42.000,Assist,34.016031225459649,-118.4956195573054,368,15,34.0160312254596,-118.495619557305
220027328,9-1-1 Hang Up,2022-03-22T00:00:00.000,1500BLK OCEAN AVE ,B001,0B1L,2022-03-22T22:00:09.000,2022-03-22T22:01:08.000,Cancelled,34.012088541579821,-118.49565711760555,368,15,34.0120885415798,-118.495657117606
