incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027297,Battery Just Occurred,2022-03-22T00:00:00.000,2000BLK VIRGINIA AVE ,B003,0B3E,2022-03-22T20:05:08.000,2022-03-22T20:58:42.000,Advisal,34.02037629354011,-118.46947656996382,364,13,34.0203762935401,-118.469476569964
220027308,Disturbance of the Peace,2022-03-22T00:00:00.000,1100BLK LINCOLN BLVD ,B001,0B1M,2022-03-22T20:46:44.000,2022-03-22T20:56:46.000,Assist,34.022864120169992,-118.49532323566156,365,6,34.02286412017,-118.495323235662
220027300,Audible Burglar Alarm,2022-03-22T00:00:00.000,100BLK BROADWAY ,B001,0B1L,2022-03-22T20:16:28.000,2022-03-22T20:50:57.000,Checks Okay,34.013147286320851,-118.49595562953479,368,15,34.0131472863209,-118.495955629535
220027293,72 Hour Psychiatric Hold,2022-03-22T00:00:00.000,1400BLK LINCOLN BLVD ,B003,0B3B,2022-03-22T19:59:12.000,2022-03-22T20:43:31.000,Assist,34.018811799682638,-118.49058730599012,368,15,34.0188117996826,-118.49058730599
220027307,Exhibition of Speed,2022-03-22T00:00:00.000,LINCOLN BLVD / INTERSTATE 10 ,B001,0B1G,2022-03-22T20:36:28.000,2022-03-22T20:41:36.000,Advisal,34.014852135286077,-118.48593128870971,364,15,34.0148521352861,-118.48593128871
220027303,Disturbance of the Peace,2022-03-22T00:00:00.000,1100BLK LINCOLN BLVD ,B001,0B1M,2022-03-22T20:25:53.000,2022-03-22T20:39:11.000,Advisal,34.022864120169992,-118.49532323566156,365,6,34.02286412017,-118.495323235662
220027304,Disturbance at a Business,2022-03-22T00:00:00.000,1400BLK 3RD STREET PROM ,B001,0B1K,2022-03-22T20:31:08.000,2022-03-22T20:36:41.000,Cancelled,34.01498071610682,-118.49530735209173,368,15,34.0149807161068,-118.495307352092
220027287,Grand Theft Report,2022-03-22T00:00:00.000,1000BLK 24TH ST ,B004,0B4F,2022-03-22T19:34:14.000,2022-03-22T20:33:45.000,Report,34.0361030498978,-118.48228096325535,365,9,34.0361030498978,-118.482280963255
220027288,Status Check,2022-03-22T00:00:00.000,1400BLK 2ND ST ,B001,0B1L,2022-03-22T19:40:02.000,2022-03-22T20:31:25.000,Assist,34.014209804153182,-118.49625540985947,368,15,34.0142098041532,-118.496255409859
220027294,Traffic Hazard,2022-03-22T00:00:00.000,OCEAN AVE / CALIFORNIA AVE,B001,0B1M,2022-03-22T20:02:53.000,2022-03-22T20:21:56.000,Assist,34.018172296246178,-118.50277234661596,365,6,34.0181722962462,-118.502772346616
